,coconut_id_keyname,identifier_list,Molecular Weight,LogP,Molecular Formula,Number of H-Donors,Number of Rings,Number of H-Acceptors,Chi Connectivity Indices,Kappa Shape Indices,number_of_broken_Lipinski_Rules
50,CNP0253916,"InChI=1S/C7H6Cl2/c1-5-2-3-6(8)7(9)4-5/h2-4H,1H3",161.03099999999998,3.30182,C7H6Cl2,0,1,0,4.198377302757663,6.913636363636365,0
51,CNP0147578,"InChI=1S/C7H5ClO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H,9,10)",156.56799999999998,2.0382,C7H5ClO2,1,1,1,4.698377302757663,7.091358574610246,0
52,CNP0310438,"InChI=1S/C7H4ClF3/c8-6-3-1-2-5(4-6)7(9,10)11/h1-4H",180.55599999999998,3.3588000000000005,C7H4ClF3,0,1,0,4.999018565639891,8.397087378640776,0
53,CNP0145784,"InChI=1S/C7H7ClO/c1-5-2-3-7(9)6(8)4-5/h2-4,9H,1H3",142.58499999999998,2.3540200000000002,C7H7ClO,1,1,1,4.198377302757663,6.4303369434416355,0
54,CNP0329015,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",142.58499999999998,2.3540200000000002,C7H7ClO,1,1,1,4.198377302757663,6.4303369434416355,0
55,CNP0325354,"InChI=1S/C7H6ClFO/c1-10-6-4-2-3-5(8)7(6)9/h2-4H,1H3",160.57499999999996,2.4877000000000002,C7H6ClFO,0,1,1,4.753218857624055,7.348225108225108,0
56,CNP0024117,"InChI=1S/C6H7ClN2/c7-5-3-1-2-4-6(5)9-8/h1-4,9H,8H2",142.58899999999997,1.6255999999999993,C6H7ClN2,2,1,2,4.3425352551010965,6.390918984280531,0
57,CNP0189889,"InChI=1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",190.029,2.0923,C7H5Cl2NO,1,1,1,5.125897657686229,8.36737098344693,0
58,CNP0052470,"InChI=1S/C7H5Cl2NO/c8-6-3-1-5(2-4-6)7(9)10-11/h1-4,11H/b10-7-",190.029,2.714600000000001,C7H5Cl2NO,1,1,2,5.236382105218448,8.36737098344693,0
59,CNP0067522,"InChI=1S/C7H5Cl2NS/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)",206.097,2.627600000000001,C7H5Cl2NS,1,1,1,5.125897657686229,8.783545369504209,0
60,CNP0370665,"InChI=1S/C6H5ClN2O2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H,8H2",172.57099999999997,1.8303999999999998,C6H5ClN2O2,1,1,3,5.1090609052806215,7.812986611740474,0
61,CNP0143389,"InChI=1S/C7H6Cl2O/c1-10-7-5(8)3-2-4-6(7)9/h2-4H,1H3",177.02999999999997,3.0020000000000016,C7H6Cl2O,0,1,1,4.753218857624056,7.704166666666666,0
62,CNP0353020,"InChI=1S/C8H6ClN/c1-6-2-3-7(5-10)8(9)4-6/h2-4H,1H3",151.59599999999998,2.520100000000001,C8H6ClN,0,1,1,4.736382105218448,7.111111111111111,0
63,CNP0036584,"InChI=1S/C7H6ClNO/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H2,9,10)",155.58399999999997,1.4389,C7H6ClNO,1,1,1,4.698377302757662,7.091358574610246,0
64,CNP0207817,"InChI=1S/C7H5ClFNO/c8-6-2-1-3-7(9)5(6)4-10-11/h1-4,11H/b10-4+",173.574,2.2872,C7H5ClFNO,1,1,2,5.253218857624056,8.01090817356206,0
65,CNP0094694,"InChI=1S/C6H5ClN2O2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,8H2",172.571,1.8303999999999996,C6H5ClN2O2,1,1,3,5.1090609052806215,7.812986611740474,0
66,CNP0045832,"InChI=1S/C7H6ClFO/c1-10-7-5(8)3-2-4-6(7)9/h2-4H,1H3",160.575,2.4877000000000002,C7H6ClFO,0,1,1,4.753218857624056,7.348225108225108,0
67,CNP0163801,"InChI=1S/C8H4Cl3N/c9-4-2-1-3-5-6(4)7(10)8(11)12-5/h1-3,12H",220.48599999999996,4.1281,C8H4Cl3N,1,2,0,5.698377302757662,8.238336796916188,0
68,CNP0131355,"InChI=1S/C7H5ClO3/c8-5-3-4(7(10)11)1-2-6(5)9/h1-3,9H,(H,10,11)",172.56699999999998,1.7437999999999998,C7H5ClO3,2,1,2,5.1090609052806215,7.882249488752557,0
69,CNP0036786,"InChI=1S/C7H6ClNO/c8-7-3-1-6(2-4-7)5-9-10/h1-5,10H/b9-5+",155.584,2.1480999999999995,C7H6ClNO,1,1,2,4.825698502695489,7.091358574610246,0
70,CNP0048957,"InChI=1S/C7H6ClFO/c1-10-7-3-2-5(9)4-6(7)8/h2-4H,1H3",160.575,2.4877000000000002,C7H6ClFO,0,1,1,4.736382105218448,7.348225108225108,0
71,CNP0052096,"InChI=1S/C7H5Cl2NO/c8-6-2-1-5(4-10-11)3-7(6)9/h1-4,11H/b10-4+",190.029,2.8015000000000008,C7H5Cl2NO,1,1,2,5.236382105218448,8.36737098344693,0
72,CNP0034380,"InChI=1S/C7H6ClFO/c1-10-5-2-3-7(9)6(8)4-5/h2-4H,1H3",160.575,2.4877000000000002,C7H6ClFO,0,1,1,4.736382105218448,7.348225108225108,0
73,CNP0369428,"InChI=1S/C7H6Cl2O/c1-10-5-2-3-6(8)7(9)4-5/h2-4H,1H3",177.03,3.0020000000000016,C7H6Cl2O,0,1,1,4.736382105218448,7.704166666666666,0
74,CNP0307258,InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,202.55299999999997,2.1564000000000005,C6H3ClN2O4,0,1,4,6.019744507803582,9.39841732979664,0
75,CNP0335896,"InChI=1S/C7H5ClN2O/c8-4-1-2-6-5(3-4)10-7(9)11-6/h1-3H,(H2,9,10)",168.583,1.8937699999999997,C7H5ClN2O,2,2,2,5.2540201954234895,6.487694108171183,0
76,CNP0167565,"InChI=1S/C7H7ClO/c1-9-7-4-2-3-6(8)5-7/h2-5H,1H3",142.58499999999998,2.3486000000000002,C7H7ClO,0,1,1,4.325698502695489,6.4303369434416355,0
77,CNP0152356,"InChI=1S/C8H4Cl3N/c9-5-3-1-2-4-6(10)8(11)12-7(4)5/h1-3,12H",220.486,4.1281,C8H4Cl3N,1,2,0,5.698377302757663,8.238336796916188,0
78,CNP0065931,"InChI=1S/C6H5ClN2O2/c7-4-1-2-6(9(10)11)5(8)3-4/h1-3H,8H2",172.57099999999997,1.8303999999999996,C6H5ClN2O2,1,1,3,5.1090609052806215,7.812986611740474,0
79,CNP0033668,"InChI=1S/C8H6ClN/c1-6-2-3-8(9)7(4-6)5-10/h2-4H,1H3",151.59599999999998,2.520100000000001,C8H6ClN,0,1,1,4.736382105218448,7.111111111111111,0
80,CNP0048870,"InChI=1S/C7H6ClNO2/c1-5-4-6(9(10)11)2-3-7(5)8/h2-4H,1H3",171.58299999999997,2.5566200000000006,C7H6ClNO2,0,1,2,5.1090609052806215,8.01090817356206,0
81,CNP0096171,"InChI=1S/C8H6ClFO/c1-5(11)7-3-2-6(10)4-8(7)9/h2-4H,1H3",172.58599999999998,2.681700000000001,C8H6ClFO,0,1,1,5.1090609052806215,8.20891196834817,0
82,CNP0245359,"InChI=1S/C7H8ClN/c1-5-4-6(8)2-3-7(5)9/h2-4H,9H2,1H3",141.601,2.23062,C7H8ClN,1,1,1,4.198377302757663,6.4303369434416355,0
83,CNP0373878,"InChI=1S/C8H6ClFO/c1-5(11)8-6(9)3-2-4-7(8)10/h2-4H,1H3",172.58599999999998,2.681700000000001,C8H6ClFO,0,1,1,5.125897657686229,8.20891196834817,0
84,CNP0172129,"InChI=1S/C7H6ClNO2/c8-5-1-3-6(4-2-5)9-7(10)11/h1-4,9H,(H,10,11)",171.583,2.4299,C7H6ClNO2,2,1,1,5.1815405503520555,7.882249488752557,0
85,CNP0024502,"InChI=1S/C7H8ClN/c1-5-4-6(9)2-3-7(5)8/h2-4H,9H2,1H3",141.601,2.23062,C7H8ClN,1,1,1,4.198377302757663,6.4303369434416355,0
86,CNP0039527,"InChI=1S/C9H5ClO3/c10-5-1-2-8-6(3-5)7(11)4-9(12)13-8/h1-4,11H/p-1",195.581,1.5199999999999994,C9H4ClO3-,0,2,3,6.164703797946448,8.133459359593342,0
87,CNP0346227,InChI=1S/C9H5Cl2N/c10-6-1-2-7-8(11)3-4-12-9(7)5-6/h1-5H,198.052,3.5416000000000007,C9H5Cl2N,0,2,1,5.770856947829096,7.838370161539696,0
88,CNP0150804,"InChI=1S/C7H6ClNO2/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3H,9H2,(H,10,11)",171.58299999999997,1.6204,C7H6ClNO2,2,1,2,5.125897657686229,7.882249488752557,0
89,CNP0252914,InChI=1S/C9H4BrClO2/c10-7-4-5(11)3-6-8(12)1-2-13-9(6)7/h1-4H,259.48600000000005,3.2089000000000008,C9H4BrClO2,0,2,2,6.1815405503520555,8.783103764921947,0
90,CNP0168029,"InChI=1S/C8H6ClFO/c1-5(11)6-2-3-8(10)7(9)4-6/h2-4H,1H3",172.58599999999998,2.681700000000001,C8H6ClFO,0,1,1,5.1090609052806215,8.20891196834817,0
91,CNP0028854,"InChI=1S/C7H8ClN/c1-5-2-3-6(9)4-7(5)8/h2-4H,9H2,1H3",141.601,2.23062,C7H8ClN,1,1,1,4.198377302757663,6.4303369434416355,0
92,CNP0130254,"InChI=1S/C7H6ClNO2/c1-5-2-3-6(8)4-7(5)9(10)11/h2-4H,1H3",171.583,2.5566200000000006,C7H6ClNO2,0,1,2,5.1090609052806215,8.01090817356206,0
93,CNP0240355,InChI=1S/C9H5ClO2/c10-6-1-2-9-7(5-6)8(11)3-4-12-9/h1-5H,180.59,2.4464000000000006,C9H5ClO2,0,2,2,5.770856947829096,7.373472958333819,0
94,CNP0175827,InChI=1S/C9H4Cl2O2/c10-5-3-6-8(12)1-2-13-9(6)7(11)4-5/h1-4H,215.035,3.0998,C9H4Cl2O2,0,2,2,6.1815405503520555,8.601279338721884,0
95,CNP0363714,"InChI=1S/C7H8ClN/c1-5-2-3-7(9)6(8)4-5/h2-4H,9H2,1H3",141.601,2.23062,C7H8ClN,1,1,1,4.198377302757663,6.4303369434416355,0
96,CNP0100364,InChI=1S/C9H4BrClO2/c10-7-4-13-8-2-1-5(11)3-6(8)9(7)12/h1-4H,259.48600000000005,3.2089000000000008,C9H4BrClO2,0,2,2,6.1815405503520555,8.783103764921947,0
97,CNP0112835,"InChI=1S/C7H7ClO2/c8-7-2-1-6(10)3-5(7)4-9/h1-3,9-10H,4H2",158.58399999999997,1.5378999999999998,C7H7ClO2,2,1,2,4.736382105218448,7.377874865156419,0
98,CNP0102945,"InChI=1S/C7H8ClN/c1-5-6(8)3-2-4-7(5)9/h2-4H,9H2,1H3",141.601,2.23062,C7H8ClN,1,1,1,4.215214055163271,6.4303369434416355,0
99,CNP0146169,"InChI=1S/C8H7ClO2/c1-11-8-4-6(5-10)2-3-7(8)9/h2-5H,1H3",170.595,2.1611000000000002,C8H7ClO2,0,1,2,5.274386907679233,8.080200400801603,0
