,coconut_id_keyname,identifier_list,Molecular Weight,LogP,Molecular Formula,Number of H-Donors,Number of Rings,Number of H-Acceptors,Chi Connectivity Indices,Kappa Shape Indices,number_of_broken_Lipinski_Rules
63,CNP0030665,"InChI=1S/C7H6O4/c8-5-3-1-2-4(6(5)9)7(10)11/h1-3,8-9H,(H,10,11)/p-1",153.11299999999997,-0.5387000000000002,C7H5O4-,2,1,4,5.125897657686229,7.397642626480085,0
64,CNP0025703,"InChI=1S/C7H7BrO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",187.03599999999997,2.46312,C7H7BrO,1,1,1,4.198377302757663,6.617647058823529,0
65,CNP0203672,"InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H",138.12199999999999,0.9102999999999999,C7H6O3,2,1,3,4.736382105218448,6.607785630153122,0
66,CNP0217243,"InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)",138.12199999999999,1.0903999999999998,C7H6O3,2,1,2,4.698377302757662,6.607785630153122,0
67,CNP0192870,"InChI=1S/C7H5NO2S/c9-4-1-2-5-6(3-4)11-7(10)8-5/h1-3,9H,(H,8,10)",167.189,1.2951999999999997,C7H5NO2S,2,2,3,5.254020195423489,6.422093116113548,0
68,CNP0415681,"InChI=1S/C6H6O4S/c7-5-3-1-2-4-6(5)11(8,9)10/h1-4,7H,(H,8,9,10)/p-1",173.16899999999998,0.2963000000000003,C6H5O4S-,1,1,4,5.015855318045498,8.030704934541792,0
69,CNP0382408,"InChI=1S/C7H6O3/c8-4-5-1-2-6(9)3-7(5)10/h1-4,9-10H",138.12199999999999,0.9102999999999997,C7H6O3,2,1,3,4.736382105218448,6.607785630153122,0
70,CNP0267550,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",108.13999999999999,1.7006199999999998,C7H8O,1,1,1,3.787693700234704,5.162450142450142,0
71,CNP0104242,"InChI=1S/C7H6O3/c8-4-5-2-1-3-6(9)7(5)10/h1-4,9-10H",138.12199999999999,0.9102999999999997,C7H6O3,2,1,3,4.753218857624056,6.607785630153122,0
72,CNP0315067,"InChI=1S/C6H7NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,7-9H",141.12599999999998,-0.20440000000000025,C6H7NO3,3,1,3,4.698377302757663,7.012359550561798,0
73,CNP0360936,"InChI=1S/C8H6O2/c9-7-1-2-8-6(5-7)3-4-10-8/h1-5,9H",134.134,2.1384,C8H6O2,1,2,2,4.860173345306138,5.353053342903662,0
74,CNP0083825,"InChI=1S/C7H6N2O/c10-5-1-2-6-7(3-5)9-4-8-6/h1-4,10H,(H,8,9)",134.138,1.2685,C7H6N2O,2,2,2,4.860173345306138,5.288577838576684,0
75,CNP0223104,"InChI=1S/C7H6O3/c8-5-1-2-6-7(3-5)10-4-9-6/h1-3,8H,4H2",138.122,1.1209,C7H6O3,1,2,3,4.860173345306138,5.4083783351558825,0
76,CNP0283266,"InChI=1S/C7H5NO3/c9-4-5-1-2-7(10)6(3-5)8-11/h1-4,10H",151.12099999999998,1.6026000000000002,C7H5NO3,1,1,4,5.274386907679233,7.397642626480087,0
77,CNP0131355,"InChI=1S/C7H5ClO3/c8-5-3-4(7(10)11)1-2-6(5)9/h1-3,9H,(H,10,11)",172.56699999999998,1.7437999999999998,C7H5ClO3,2,1,2,5.1090609052806215,7.882249488752557,0
78,CNP0242840,"InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3",108.13999999999999,1.70062,C7H8O,1,1,1,3.804530452640311,5.162450142450142,0
79,CNP0355586,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",108.13999999999999,1.7006199999999998,C7H8O,1,1,1,3.787693700234704,5.162450142450142,0
80,CNP0176630,"InChI=1S/C6H7NO2/c7-5-3-4(8)1-2-6(5)9/h1-3,8-9H,7H2",125.127,0.6800000000000003,C6H7NO2,3,1,3,4.198377302757663,5.7512335958005245,0
81,CNP0047841,"InChI=1S/C7H6O4/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,8-9H,(H,10,11)/p-1",153.11299999999997,-0.5387000000000002,C7H5O4-,2,1,4,5.1090609052806215,7.397642626480087,0
82,CNP0263236,"InChI=1S/C8H6O2/c9-7-2-1-6-3-4-10-8(6)5-7/h1-5,9H",134.134,2.1384,C8H6O2,1,2,2,4.860173345306138,5.353053342903662,0
83,CNP0027644,"InChI=1S/C6H5NO4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H",155.10899999999998,1.006,C6H5NO4,2,1,4,5.1090609052806215,7.328459869848157,0
84,CNP0064333,"InChI=1S/C6H7O4P/c7-5-3-1-2-4-6(5)11(8,9)10/h1-4,7H,(H2,8,9,10)/p-2",172.076,-1.0688,C6H5O4P-2,1,1,4,5.015855318045498,8.268328416912487,0
85,CNP0085708,"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)/p-1",153.11299999999997,0.16399999999999992,C7H5O4-,2,1,3,5.1090609052806215,7.397642626480087,0
